t;framecounter;lat;long;height;GPS_satellites;temp;voltage;temp_int;pressure;humidity_rel;RSSI;CRC;r;v_z;wind;wind_direction;wind_direction_deg;vapor_pressure;dew_point
0,0;36,0;1,209441985411468;0,27976134413774884;0,0005;10,0;;;;;;-39,0;1,0;0,05952699682934326;;;;;;
4,0;37,0;1,209441985411468;0,27976134413774884;0,0005;10,0;7,588602611676322;3,96;25,225993192824944;98,14413;59,49;-45,0;3,0;0,05952699682934326;0,0;0,0;-3,141592653589793;-180,0;0,6675483548694866;1,076339280333364
8,0;38,0;1,209441985411468;0,27976134413774884;0,0005;10,0;;;;;;-44,0;1,0;0,05952699682934326;0,0;0,0;-3,141592653589793;-180,0;;
12,0;39,0;1,209441985411468;0,27976134413774884;0,0005;10,0;;;;;;-45,0;1,0;0,05952699682934326;0,0;0,0;-3,141592653589793;-180,0;;
16,0;40,0;1,209441985411468;0,27976134413774884;0,0005;10,0;;;;;;-45,0;1,0;0,05952699682934326;0,0;0,0;-3,141592653589793;-180,0;;
20,0;41,0;1,209441985411468;0,27976134413774884;0,0005;10,0;;;;;;-60,0;1,0;0,05952699682934326;0,0;0,0;-3,141592653589793;-180,0;;
24,0;42,0;1,2094417190742242;0,27976151046762654;0,0;11,0;;;;;;-44,0;1,0;0,05954988244836593;-0,125;0,4992282406897996;-0,5582458127740116;-31,985129002801205;;
28,0;43,0;1,2094417190742242;0,27976151046762654;0,0;11,0;;;;;;-45,0;1,0;0,05954988244836593;0,0;0,0;-3,141592653589793;-180,0;;
32,0;44,0;1,2094417190742242;0,27976151046762654;0,0;11,0;;;;;;-40,0;1,0;0,05954988244836593;0,0;0,0;-3,141592653589793;-180,0;;
36,0;45,0;1,2094417190742242;0,27976151046762654;0,0;11,0;7,348801326173202;3,96;26,50385503657327;98,14801;60,27;-38,0;3,0;0,05954988244836593;0,0;0,0;-3,141592653589793;-180,0;0,6637772056775438;1,0070095144654674
40,0;46,0;1,2094417190742242;0,27976151046762654;0,0;11,0;;;;;;-36,0;1,0;0,05954988244836593;0,0;0,0;-3,141592653589793;-180,0;;
44,0;47,0;1,2094417190742242;0,27976151046762654;0,0;11,0;;;;;;-38,0;1,0;0,05954988244836593;0,0;0,0;-3,141592653589793;-180,0;;
48,0;48,0;1,2094417190742242;0,27976151046762654;0,0;11,0;;;;;;-40,0;1,0;0,05954988244836593;0,0;0,0;-3,141592653589793;-180,0;;
52,0;49,0;1,2094417190742242;0,27976151046762654;0,0;11,0;7,849336235227327;3,96;26,50385503657327;98,1502;61,91;-40,0;3,0;0,05954988244836593;0,0;0,0;-3,141592653589793;-180,0;0,7089405616669644;1,8146738340236708
56,0;50,0;1,2094417190742242;0,27976151046762654;0,0;11,0;7,946078733009301;3,96;26,50385503657327;98,15195;61,88;-44,0;3,0;0,05954988244836593;0,0;0,0;-3,141592653589793;-180,0;0,7139438617611314;1,901238090192497
60,0;51,0;1,2094417190742242;0,2797615438034152;0,0;11,0;7,656963896278796;3,96;27,845479982448694;98,13975;61,25;-37,0;3,0;0,05947731265634414;0,0;0,05299914661938104;-1,5707963267948966;-90,0;0,6909655671344946;1,4990112557357267
64,0;;;;;;;;;;;;;;;;;;;
68,0;53,0;1,209441852242846;0,2797630751553009;0,0;11,0;;;;;;-41,0;1,0;0,05597783857682621;;;;;;
72,0;54,0;1,209442251574179;0,2797628421538458;0,002;11,0;7,393866977043672;3,96;27,845479982448694;98,13969999999999;63,64;-33,0;3,0;0,05575996961512521;0,5;0,7350495465478765;2,6134095125229475;149,73733520690675;0,7033604190370633;1,7174692384956047
76,0;55,0;1,2094426510800447;0,2797625091450245;0,0125;11,0;6,902828932580235;3,96;27,845479982448694;98,08614;64,0;-32,0;3,0;0,055844136962949036;2,625;0,8268799828926834;2,4467254780973473;140,18704352210653;0,6807173417004813;1,3156691436920227
80,0;56,0;1,2094383900332089;0,27976021229172887;0,0075;11,0;6,3224474638555535;3,96;27,845479982448694;97,86816999999999;63,41;-45,0;3,0;0,06901817486443962;-1,25;7,695978549369318;0,49438581116216485;28,32622043074375;0,6444299200562257;0,6455681946507223
83,0;;;;;;;;;;;;;;;;;;;
87,0;58,0;1,209425074218214;0,27976453983560917;0,0125;11,0;5,534091757743454;3,96;27,845479982448694;97,06541;63,6;-39,0;3,0;0,12828768580095296;;;;;0,607419090609507;-0,07436218630589206
91,0;59,0;1,209422677357552;0,2797758916315971;0,022;11,0;5,182447974513366;3,96;27,845479982448694;96,71063000000001;64,26;-44,0;3,0;0,13600397205680143;2,375;18,445712817097103;-1,3627089533639005;-78,07747173244123;0,5968768831622743;-0,28676016132505083
95,0;60,0;1,209420813171378;0,2797854788997112;0,0465;11,0;4,961722428448354;3,96;27,845479982448694;96,59355000000001;64,8;-46,0;3,0;0,14972214423339156;6,125;15,527974570286577;-1,378748796812268;-78,99648706608325;0,591447325971936;-0,39749174412322513
99,0;61,0;;;;;4,730920107630254;3,96;27,845479982448694;96,3207;65,1;-42,0;2,0;;;;;;0,5833898839197846;-0,5635402971026723
103,0;62,0;1,2094270715730098;0,2797831820464156;0,12;11,0;4,47848763495756;3,96;27,845479982448694;96,13009;66,57;-42,0;3,0;0,15323681347496215;;;;;0,5846980611286703;-0,5364393797118832
107,0;63,0;1,2094298679395372;0,2797844802223132;0,155;11,0;;;;;;-42,0;1,0;0,17034905420794452;8,75;4,901659264949506;-2,7069627824576283;-155,0975427338121;;
